token_mode,ensemble,scaling,n,m,compression_ratio,d_k,heads,true_attention_entropy_nats,max_entropy_nats,entropy_fraction,relative_l2,cosine_similarity,nmse_db,norm_ratio
iid,gaussian,paper_sqrt_dk,256,16,16.0,64,4,5.046583652496338,5.545177459716797,0.9100851486102082,29.785282135009766,0.027714364230632782,29.48003578186035,29.793550491333008
iid,gaussian,variance_calibrated,256,16,16.0,64,4,5.046583652496338,5.545177459716797,0.9100851486102082,14.101662635803223,0.004070932045578957,22.985408782958984,14.069146156311035
iid,gaussian,paper_sqrt_dk,256,32,8.0,64,4,5.046583652496338,5.545177459716797,0.9100851486102082,16.464866638183594,0.014509513042867184,24.331165313720703,16.44742202758789
iid,gaussian,variance_calibrated,256,32,8.0,64,4,5.046583652496338,5.545177459716797,0.9100851486102082,7.3860859870910645,0.029040643945336342,17.3682918548584,7.343886852264404
iid,gaussian,paper_sqrt_dk,256,64,4.0,64,4,5.046583652496338,5.545177459716797,0.9100851486102082,7.8929901123046875,0.014084704220294952,17.9448299407959,7.837625980377197
iid,gaussian,variance_calibrated,256,64,4.0,64,4,5.046583652496338,5.545177459716797,0.9100851486102082,3.963487148284912,-0.025652380660176277,11.961551666259766,3.8069944381713867
iid,gaussian,paper_sqrt_dk,256,128,2.0,64,4,5.046583652496338,5.545177459716797,0.9100851486102082,3.001905679702759,0.022001774981617928,9.547944068908691,2.8527889251708984
iid,gaussian,variance_calibrated,256,128,2.0,64,4,5.046583652496338,5.545177459716797,0.9100851486102082,2.249835252761841,-0.009662684053182602,7.0430145263671875,2.003995180130005
iid,rademacher,paper_sqrt_dk,256,16,16.0,64,4,5.046583652496338,5.545177459716797,0.9100851486102082,30.657678604125977,0.01883114129304886,29.730785369873047,30.656566619873047
iid,rademacher,variance_calibrated,256,16,16.0,64,4,5.046583652496338,5.545177459716797,0.9100851486102082,14.445032119750977,-0.033216506242752075,23.194372177124023,14.381818771362305
iid,rademacher,paper_sqrt_dk,256,32,8.0,64,4,5.046583652496338,5.545177459716797,0.9100851486102082,16.831144332885742,-0.00028042669873684645,24.522275924682617,16.80145835876465
iid,rademacher,variance_calibrated,256,32,8.0,64,4,5.046583652496338,5.545177459716797,0.9100851486102082,7.737590312957764,-0.012493548914790154,17.772113800048828,7.658135414123535
iid,rademacher,paper_sqrt_dk,256,64,4.0,64,4,5.046583652496338,5.545177459716797,0.9100851486102082,7.999145984649658,0.03451801463961601,18.060874938964844,7.966946125030518
iid,rademacher,variance_calibrated,256,64,4.0,64,4,5.046583652496338,5.545177459716797,0.9100851486102082,3.923604726791382,0.056308966130018234,11.873708724975586,3.849299192428589
iid,rademacher,paper_sqrt_dk,256,128,2.0,64,4,5.046583652496338,5.545177459716797,0.9100851486102082,3.1359941959381104,-0.007917409762740135,9.927508354187012,2.963683843612671
iid,rademacher,variance_calibrated,256,128,2.0,64,4,5.046583652496338,5.545177459716797,0.9100851486102082,2.1599745750427246,0.04680772125720978,6.688972473144531,1.959865689277649
iid,gaussian,NO_SOFTMAX_control,256,16,16.0,64,4,5.046583652496338,5.545177459716797,0.9100851486102082,4.048163414001465,0.2329869270324707,12.145160675048828,4.166066646575928
iid,gaussian,NO_SOFTMAX_control,256,32,8.0,64,4,5.046583652496338,5.545177459716797,0.9100851486102082,2.7662291526794434,0.3379763960838318,8.837759017944336,2.9426064491271973
iid,gaussian,NO_SOFTMAX_control,256,64,4.0,64,4,5.046583652496338,5.545177459716797,0.9100851486102082,1.947068452835083,0.43324798345565796,5.7876200675964355,2.16184401512146
iid,gaussian,NO_SOFTMAX_control,256,128,2.0,64,4,5.046583652496338,5.545177459716797,0.9100851486102082,1.3927701711654663,0.580189049243927,2.8775856494903564,1.713619589805603
redundant,gaussian,paper_sqrt_dk,256,16,16.0,64,4,5.117082118988037,5.545177459716797,0.9227986220750051,10.143600463867188,-0.12282583862543106,20.123844146728516,9.98879623413086
redundant,gaussian,variance_calibrated,256,16,16.0,64,4,5.117082118988037,5.545177459716797,0.9227986220750051,5.100055694580078,0.28760337829589844,14.151497840881348,5.283777713775635
redundant,gaussian,paper_sqrt_dk,256,32,8.0,64,4,5.117082118988037,5.545177459716797,0.9227986220750051,6.343957424163818,-0.024551913142204285,16.047203063964844,6.229773044586182
redundant,gaussian,variance_calibrated,256,32,8.0,64,4,5.117082118988037,5.545177459716797,0.9227986220750051,3.114466905593872,-0.18991322815418243,9.86767864227295,2.76672101020813
redundant,gaussian,paper_sqrt_dk,256,64,4.0,64,4,5.117082118988037,5.545177459716797,0.9227986220750051,2.732924461364746,0.03255017101764679,8.732551574707031,2.599240779876709
redundant,gaussian,variance_calibrated,256,64,4.0,64,4,5.117082118988037,5.545177459716797,0.9227986220750051,1.474426507949829,0.26814866065979004,3.3724653720855713,1.3890573978424072
redundant,gaussian,paper_sqrt_dk,256,128,2.0,64,4,5.117082118988037,5.545177459716797,0.9227986220750051,1.3413833379745483,0.22864508628845215,2.551055431365967,1.082270622253418
redundant,gaussian,variance_calibrated,256,128,2.0,64,4,5.117082118988037,5.545177459716797,0.9227986220750051,1.2415052652359009,-0.026148522272706032,1.878975749015808,0.6993229389190674
redundant,rademacher,paper_sqrt_dk,256,16,16.0,64,4,5.117082118988037,5.545177459716797,0.9227986220750051,11.992352485656738,-0.05061173066496849,21.578086853027344,11.910775184631348
