label,status,device,time_ms_mean,time_ms_std,time_ms_median,time_ms_min,repeats,peak_allocated_MB,peak_reserved_MB,n,m,method,batch,heads,d_k,theoretical_GFLOPs,attention_matrix_MB,decoder_iters,decoder_layers
standard_attention,ok,cpu,1.2053934335708618,0.2144400030374527,1.121485948562622,1.0645760297775269,10,,,256,,standard_attention,1,8,64,0.136839168,2.0,,
csat_attention_m64,ok,cpu,1.1332371234893799,0.22222425043582916,1.0453059673309326,0.9794639945030212,10,,,256,64.0,csat_attention,1,8,64,0.067764224,0.5,,
ista_decoder_m64,ok,cpu,10.4290771484375,0.5005484819412231,10.34848690032959,9.995570182800293,5,,,256,64.0,ista_decoder,1,8,64,,,20.0,
lista_decoder_m64,ok,cpu,4.344321250915527,0.560087263584137,4.1640400886535645,3.888611078262329,5,,,256,64.0,lista_decoder,1,8,64,,,,8.0
csat_pipeline_m64,ok,cpu,11.722722053527832,0.4096200466156006,11.712638854980469,11.266866683959961,5,,,256,64.0,csat_full_pipeline,1,8,64,,,20.0,
csat_attention_m128,ok,cpu,1.602612853050232,0.26028797030448914,1.464110016822815,1.3977240324020386,10,,,256,128.0,csat_attention,1,8,64,0.135528448,1.0,,
ista_decoder_m128,ok,cpu,11.807842254638672,2.8181419372558594,10.27669620513916,10.105521202087402,5,,,256,128.0,ista_decoder,1,8,64,,,20.0,
lista_decoder_m128,ok,cpu,4.069831371307373,0.4668307900428772,3.801114082336426,3.7116730213165283,5,,,256,128.0,lista_decoder,1,8,64,,,,8.0
csat_pipeline_m128,ok,cpu,12.226947784423828,0.4768085181713104,11.907322883605957,11.79614543914795,5,,,256,128.0,csat_full_pipeline,1,8,64,,,20.0,
standard_attention,ok,cpu,15.058074951171875,0.6710030436515808,14.856941223144531,14.339569091796875,10,,,512,,standard_attention,1,8,64,0.547356672,8.0,,
csat_attention_m64,ok,cpu,1.519770860671997,0.2897515296936035,1.3956600427627563,1.3009350299835205,10,,,512,64.0,csat_attention,1,8,64,0.135528448,1.0,,
ista_decoder_m64,ok,cpu,20.966867446899414,0.5417692065238953,20.99140739440918,20.09803009033203,5,,,512,64.0,ista_decoder,1,8,64,,,20.0,
lista_decoder_m64,ok,cpu,7.245526313781738,0.5185222029685974,7.028885841369629,6.881447792053223,5,,,512,64.0,lista_decoder,1,8,64,,,,8.0
csat_pipeline_m64,ok,cpu,22.81204605102539,0.7986209392547607,22.300373077392578,22.160112380981445,5,,,512,64.0,csat_full_pipeline,1,8,64,,,20.0,
csat_attention_m128,ok,cpu,2.243797540664673,0.32906898856163025,2.0830299854278564,2.072277069091797,10,,,512,128.0,csat_attention,1,8,64,0.271056896,2.0,,
ista_decoder_m128,ok,cpu,20.789077758789062,1.0220249891281128,20.32500648498535,19.785236358642578,5,,,512,128.0,ista_decoder,1,8,64,,,20.0,
lista_decoder_m128,ok,cpu,7.99685525894165,0.8397168517112732,7.9239888191223145,6.985899925231934,5,,,512,128.0,lista_decoder,1,8,64,,,,8.0
csat_pipeline_m128,ok,cpu,27.51676368713379,3.7310194969177246,25.809167861938477,23.188188552856445,5,,,512,128.0,csat_full_pipeline,1,8,64,,,20.0,
standard_attention,ok,cpu,62.046592712402344,6.062137126922607,58.815101623535156,55.66838073730469,10,,,1024,,standard_attention,1,8,64,2.189426688,32.0,,
csat_attention_m64,ok,cpu,3.812042236328125,0.33052438497543335,3.6892518997192383,3.56815505027771,10,,,1024,64.0,csat_attention,1,8,64,0.271056896,2.0,,
ista_decoder_m64,ok,cpu,53.268646240234375,0.8367730379104614,53.43871307373047,52.265323638916016,5,,,1024,64.0,ista_decoder,1,8,64,,,20.0,
lista_decoder_m64,ok,cpu,15.178120613098145,0.8125024437904358,14.806114196777344,14.45625114440918,5,,,1024,64.0,lista_decoder,1,8,64,,,,8.0
csat_pipeline_m64,ok,cpu,56.88574981689453,2.2067601680755615,55.71265411376953,54.15010070800781,5,,,1024,64.0,csat_full_pipeline,1,8,64,,,20.0,
csat_attention_m128,ok,cpu,4.904557704925537,0.3237755000591278,4.760643005371094,4.682374000549316,10,,,1024,128.0,csat_attention,1,8,64,0.542113792,4.0,,
ista_decoder_m128,ok,cpu,53.42277908325195,1.7683851718902588,53.687538146972656,50.81877136230469,5,,,1024,128.0,ista_decoder,1,8,64,,,20.0,
lista_decoder_m128,ok,cpu,22.587915420532227,1.3129730224609375,22.263303756713867,21.18512725830078,5,,,1024,128.0,lista_decoder,1,8,64,,,,8.0
csat_pipeline_m128,ok,cpu,55.93901443481445,0.9403565526008606,55.9179801940918,54.67368698120117,5,,,1024,128.0,csat_full_pipeline,1,8,64,,,20.0,
standard_attention,ok,cpu,231.7362823486328,11.254695892333984,225.26132202148438,218.05972290039062,10,,,2048,,standard_attention,1,8,64,8.757706752,128.0,,
csat_attention_m64,ok,cpu,7.039239406585693,0.8009082674980164,7.035359859466553,5.246779918670654,10,,,2048,64.0,csat_attention,1,8,64,0.542113792,4.0,,
ista_decoder_m64,ok,cpu,160.30661010742188,7.070364952087402,160.47547912597656,148.7579345703125,5,,,2048,64.0,ista_decoder,1,8,64,,,20.0,
lista_decoder_m64,ok,cpu,53.72039031982422,1.1245896816253662,53.96904754638672,51.75614547729492,5,,,2048,64.0,lista_decoder,1,8,64,,,,8.0
csat_pipeline_m64,ok,cpu,162.85679626464844,6.402907371520996,162.4796600341797,156.0642547607422,5,,,2048,64.0,csat_full_pipeline,1,8,64,,,20.0,
csat_attention_m128,ok,cpu,19.61551284790039,1.5413990020751953,18.908477783203125,18.305383682250977,10,,,2048,128.0,csat_attention,1,8,64,1.084227584,8.0,,
ista_decoder_m128,ok,cpu,153.9947967529297,3.061593770980835,152.80715942382812,150.90528869628906,5,,,2048,128.0,ista_decoder,1,8,64,,,20.0,
lista_decoder_m128,ok,cpu,58.2962532043457,3.0108730792999268,59.527706146240234,54.45820236206055,5,,,2048,128.0,lista_decoder,1,8,64,,,,8.0
csat_pipeline_m128,ok,cpu,174.45016479492188,2.790919065475464,175.17727661132812,170.153076171875,5,,,2048,128.0,csat_full_pipeline,1,8,64,,,20.0,
